train/n_updates,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean
85099,1602,568,53,0.45,4.303989887237549,0.9920520186424255,0.0003,0.0017595699755474925,85200,150.0,0.000926358625292778,-8.18920555
85699,1615,572,53,0.45,4.232004165649414,1.7642278671264648,0.0003,0.0015794613864272833,85800,150.0,0.0009224782697856426,-8.201069870000001
86299,1627,576,53,0.45,4.1875715255737305,-1.3446073532104492,0.0003,0.001308206468820572,86400,150.0,0.0009270103764720261,-8.09849801
86899,1640,580,53,0.47,4.355030536651611,-1.5891602039337158,0.0003,0.0016025870572775602,87000,150.0,0.000952468253672123,-8.05303393
87499,1652,584,53,0.45,4.140227794647217,-3.6996450424194336,0.0003,0.0015976288123056293,87600,150.0,0.0009282325627282262,-8.105524549999998
88099,1665,588,52,0.43,4.380622386932373,-2.3157687187194824,0.0003,0.0022059406619518995,88200,150.0,0.0009379327530041337,-8.214918689999998
88699,1677,592,52,0.44,4.481973648071289,0.0624089241027832,0.0003,0.002238696441054344,88800,150.0,0.0009333761991001666,-8.255086689999999
89299,1690,596,52,0.44,4.339661121368408,1.2150745391845703,0.0003,0.0014766324311494827,89400,150.0,0.0009274499025195837,-8.236667999999998
89899,1702,600,52,0.43,4.573167324066162,1.7344591617584229,0.0003,0.0022405076306313276,90000,150.0,0.0009220754727721214,-8.14556769
90499,1715,604,52,0.42,4.416457653045654,2.1205251216888428,0.0003,0.0017932706978172064,90600,150.0,0.0009158456814475358,-8.295203609999998
91099,1728,608,52,0.44,4.335820198059082,-6.817142486572266,0.0003,0.0009603818180039525,91200,150.0,0.0009171584970317781,-8.19476397
91699,1740,612,52,0.46,4.442380428314209,-0.6546084880828857,0.0003,0.0016302112489938736,91800,150.0,0.000926268519833684,-7.744694119999999
92299,1753,616,52,0.45,4.33217191696167,-2.38702654838562,0.0003,0.0020174733363091946,92400,150.0,0.0009110483806580305,-7.7926012600000005
92899,1765,620,52,0.44,4.444353103637695,-0.30824869871139526,0.0003,0.0017231048550456762,93000,150.0,0.0009257872006855905,-7.952025689999999
93499,1778,624,52,0.43,4.399407386779785,-1.4338970184326172,0.0003,0.0018298693466931581,93600,150.0,0.0009132095729000866,-7.970571500000001
94099,1791,628,52,0.42,4.394913196563721,-2.0826680660247803,0.0003,0.0017747377278283238,94200,150.0,0.0009140865295194089,-7.936626599999999
94699,1803,632,52,0.41,4.385929107666016,-1.511460542678833,0.0003,0.0016922149807214737,94800,150.0,0.0008993829833343625,-7.84222125
95299,1816,636,52,0.41,4.439297676086426,2.6824846267700195,0.0003,0.001798498909920454,95400,150.0,0.000907563604414463,-7.863241440000001
95899,1829,640,52,0.41,4.373429775238037,-1.7141165733337402,0.0003,0.0014550238847732544,96000,150.0,0.0009334870264865458,-7.76852166
96499,1841,644,52,0.42,4.542458534240723,1.7925747632980347,0.0003,0.0017319463659077883,96600,150.0,0.0009265472763217986,-7.703601750000001
97099,1854,648,52,0.42,4.444291114807129,0.2789408564567566,0.0003,0.0022023702040314674,97200,150.0,0.0009359460091218352,-7.730455599999999
97699,1867,652,52,0.43,4.48140811920166,2.308990001678467,0.0003,0.002015520818531513,97800,150.0,0.000926641805563122,-7.719727389999999
98299,1879,656,52,0.4,4.5391740798950195,-0.058425962924957275,0.0003,0.0021515563130378723,98400,150.0,0.000930897775106132,-7.75564754
98899,1893,660,52,0.38,4.4553422927856445,2.113178014755249,0.0003,0.00212394492700696,99000,150.0,0.000925679923966527,-7.9953473399999995
99499,1905,664,52,0.4,4.5644850730896,2.134152412414551,0.0003,0.0019521764479577541,99600,150.0,0.0009128399542532861,-7.99102241
100099,1918,668,52,0.39,4.361271858215332,-2.9281251430511475,0.0003,0.001364321680739522,100200,150.0,0.0008936520898714662,-8.191482030000001
100699,1931,672,52,0.39,4.540129661560059,4.537176609039307,0.0003,0.0026166397146880627,100800,150.0,0.0008702516788616776,-8.05811032
101299,1944,676,52,0.39,4.374338626861572,0.9952018857002258,0.0003,0.0019934531301259995,101400,150.0,0.0008917161612771451,-8.06261759
101899,1956,680,52,0.36,4.454115867614746,-1.745192289352417,0.0003,0.0014099639374762774,102000,150.0,0.0008903993875719607,-8.159803830000001
